x,y,z
2.991839777390390420e+00,7.835230043390360777e+00,1.388079412142536384e+00
3.110468685668667188e+00,8.157332512606334518e+00,1.436403908123852879e+00
3.234086709750878086e+00,8.491842214353061635e+00,1.489030572985671430e+00
3.362878038915419587e+00,8.839222496672388019e+00,1.546339240828113581e+00
3.497032736226709737e+00,9.199944265099457397e+00,1.608748177480108676e+00
3.636746738535189927e+00,9.574485982662706007e+00,1.676714080499390525e+00
3.782221856477320010e+00,9.963333669883853716e+00,1.750732079172498956e+00
3.933665774475584520e+00,1.036698090477791645e+01,1.831335734514779379e+00
4.091292050738487340e+00,1.078592882285319909e+01,1.919097039270383220e+00
4.255320117260554369e+00,1.122068611711129549e+01,2.014626417912266820e+00
4.425975279822334407e+00,1.167176903804709198e+01,2.118572726642192983e+00
4.603488717990394719e+00,1.213970139364876566e+01,2.231623253390729200e+00
4.788097485117328134e+00,1.262501454939778256e+01,2.354503717817249875e+00
4.980044508341745058e+00,1.312824742826889590e+01,2.487978271309934097e+00
5.179578588588279686e+00,1.364994651073016385e+01,2.632849496985767868e+00
5.386954400567587342e+00,1.419066583474291576e+01,2.789958409690540098e+00
5.602432492776344475e+00,1.475096699576177883e+01,2.960184455998848385e+00
5.826069821460932552e+00,1.532980788448908704e+01,3.144874476825117782e+00
6.057875582979962203e+00,1.592551532117153101e+01,3.345718804035769267e+00
6.298332847357933417e+00,1.653985741595046832e+01,3.563650997750771765e+00
6.547907427958762128e+00,1.717444852246205045e+01,3.799705528735381144e+00
6.807037300774130273e+00,1.783066994852637777e+01,4.055037707477656461e+00
7.076132604423481354e+00,1.850966995614747646e+01,4.330923684188458189e+00
7.355575640154021322e+00,1.921236376151331271e+01,4.628760448801446437e+00
7.645720871840720356e+00,1.993943353499579274e+01,4.950065830973084502e+00
7.946894925986310199e+00,2.069132840115075211e+01,5.296478500082637098e+00
8.259396591721287706e+00,2.146826443871796997e+01,5.669757965232168573e+00
8.583496820803908633e+00,2.227022468062115124e+01,6.071784575246547355e+00
8.919438727620194740e+00,2.309695911396794799e+01,6.504559518673441509e+00
9.267437589183931124e+00,2.394798468004994874e+01,6.970204823783321402e+00
9.627680845136664445e+00,2.482258527434266426e+01,7.470963358569457924e+00
1.000032809774770470e+01,2.571981174650555957e+01,8.009198830747925157e+00
1.038551111191412346e+01,2.663848190038202191e+01,8.587395787757596821e+00
1.078333381516075740e+01,2.757718049399938565e+01,9.208159616760145383e+00
1.119387229764020475e+01,2.853425923956890742e+01,9.874216544640054494e+00
1.161717481213282710e+01,2.950783680348579807e+01,1.058841363800459945e+01
1.205326177404674759e+01,3.049579880632919071e+01,1.135371880318385962e+01
1.250212576141785270e+01,3.149579782286216201e+01,1.217322078623071846e+01
1.296373151490979581e+01,3.250525338203172510e+01,1.305012917292085817e+01
1.343801593781399006e+01,3.352135196696882247e+01,1.398777438875276502e+01
1.392488809604960665e+01,3.454104701498833663e+01,1.498960769894772227e+01
1.442422921816358894e+01,3.556105891758909365e+01,1.605920120844982080e+01
1.493589269533064368e+01,3.657787502045384542e+01,1.720024786192596267e+01
1.545970408135321961e+01,3.758774962344928383e+01,1.841656144376580784e+01
1.599546109266155725e+01,3.858670398062602658e+01,1.971207657808186298e+01
1.654281607549742006e+01,3.957068257346512752e+01,2.109011084781667478e+01
1.710020061367725930e+01,4.053543451706620004e+01,2.254736744138655169e+01
1.766663355393539092e+01,4.147264418679476705e+01,2.408590649517107352e+01
1.824124575614521149e+01,4.237329097897979580e+01,2.570873486598465263e+01
1.882297764866216738e+01,4.322836773797060061e+01,2.741774695977781562e+01
1.941057922832376903e+01,4.402888075613685004e+01,2.921372473163720684e+01
2.000261006044959800e+01,4.476584977386858810e+01,3.109633768578559909e+01
2.059743927884128567e+01,4.543030797957618461e+01,3.306414287558187937e+01
2.119324558578253104e+01,4.601330200969039197e+01,3.511458490352104889e+01
2.178801725203909712e+01,4.650589194866228837e+01,3.724399592123425151e+01
2.237955211685880386e+01,4.689915132896332750e+01,3.944759562948871690e+01
2.296545758797153525e+01,4.718416713108530303e+01,4.171949127818782443e+01
2.354315064158924287e+01,4.735203978354038412e+01,4.405267766637105353e+01
2.410985782240593167e+01,4.739388316286107994e+01,4.643903714221403334e+01
2.466261524359766710e+01,4.730082459360023961e+01,4.886933960302845747e+01
2.519826858682258930e+01,4.706400484833110198e+01,5.133324249526218352e+01
2.571347310222088822e+01,4.667457814764723167e+01,5.381929081449920460e+01
2.620473610860938507e+01,4.612355223970894258e+01,5.631512162280325384e+01
2.667033730834137017e+01,4.539678819301669677e+01,5.881518571109839399e+01
2.710705463203469279e+01,4.449274251315056006e+01,6.130206999465638518e+01
2.751066438806717684e+01,4.341672225269277163e+01,6.375265364096206611e+01
2.787731519628160015e+01,4.217469429933068881e+01,6.614553576334122909e+01
2.820352798798570149e+01,4.077328537585675150e+01,6.846103542096064132e+01
2.848619600595217705e+01,3.921978204016857461e+01,7.068119161882793833e+01
2.872258480441869111e+01,3.752213068526876327e+01,7.278976330779187265e+01
2.891033224908784760e+01,3.568893753926518997e+01,7.477222938454193013e+01
